INFO   | jvm 1    | main    | 2015/11/04 09:01:43.319 | INFO  [localhost-startStop-1] [hybrisserver] promotions->(voucher,hmc) 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\promotions
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.320 | INFO  [localhost-startStop-1] [hybrisserver] basecommerce->hmc 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\basecommerce
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.321 | INFO  [localhost-startStop-1] [hybrisserver] mobileservices->(basecommerce,hmc) 5.4.0.5 [ciwh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-channel\mobileservices
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.322 | INFO  [localhost-startStop-1] [hybrisserver] cms2->(basecommerce,hmc) 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-content\cms2
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.323 | INFO  [localhost-startStop-1] [hybrisserver] mobileoptionals->(promotions,cms2,voucher,hmc,mobileservices) 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-channel\mobileoptionals
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.323 | INFO  [localhost-startStop-1] [hybrisserver] cms2lib->cms2 5.4.0.5 [ci] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-content\cms2lib
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.324 | INFO  [localhost-startStop-1] [hybrisserver] ticketsystem->(basecommerce,hmc) 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\ticketsystem
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.325 | INFO  [localhost-startStop-1] [hybrisserver] payment->(basecommerce,hmc) 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\payment
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.326 | INFO  [localhost-startStop-1] [hybrisserver] btg->(cms2,hmc) 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\btg
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.326 | INFO  [localhost-startStop-1] [hybrisserver] platformhmc->(ldap,hmc) 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-platform-optional\platformhmc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.327 | INFO  [localhost-startStop-1] [hybrisserver] classificationsystemshmc->(platformhmc,classificationsystems,hmc) 5.4.0.5 [h] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-content\classificationsystemshmc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.328 | INFO  [localhost-startStop-1] [hybrisserver] commerceservices->(solrfacetsearchhmc,solrfacetsearch,payment,platformhmc,basecommerce,customerreview,promotions,cms2,hmc) 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\commerceservices
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.329 | INFO  [localhost-startStop-1] [hybrisserver] acceleratorservices->(ticketsystem,cms2,hmc,commerceservices) 5.4.0.5 [cibwh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-accelerator\acceleratorservices
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.330 | INFO  [localhost-startStop-1] [hybrisserver] merchandisefulfilmentprocess->(acceleratorservices,ticketsystem) 5.4.0.5 [ci] path:C:\HybrisCommerceTrail5.4\hybris\bin\custom\merchandisefulfilmentprocess
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.330 | INFO  [localhost-startStop-1] [hybrisserver] acceleratorcms->(acceleratorservices,cms2,hmc,cms2lib) 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-accelerator\acceleratorcms
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.331 | INFO  [localhost-startStop-1] [hybrisserver] merchandisecore->(merchandisefulfilmentprocess,acceleratorservices,acceleratorcms,hmc) 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\custom\merchandisecore
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.332 | INFO  [localhost-startStop-1] [hybrisserver] merchandiseinitialdata->merchandisecore 5.4.0.5 [c] path:C:\HybrisCommerceTrail5.4\hybris\bin\custom\merchandiseinitialdata
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.332 | INFO  [localhost-startStop-1] [hybrisserver] commercewebservicescommons->commerceservices 5.4.0.5 [cib] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\commercewebservicescommons
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.333 | INFO  [localhost-startStop-1] [hybrisserver] commercefacades->commerceservices 5.4.0.5 [cb] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\commercefacades
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.334 | INFO  [localhost-startStop-1] [hybrisserver] acceleratorfacades->(acceleratorservices,acceleratorcms,commercefacades) 5.4.0.5 [cb] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-accelerator\acceleratorfacades
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.335 | INFO  [localhost-startStop-1] [hybrisserver] merchandisefacades->(merchandisecore,acceleratorfacades) 5.4.0.5 [cb] path:C:\HybrisCommerceTrail5.4\hybris\bin\custom\merchandisefacades
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.335 | INFO  [localhost-startStop-1] [hybrisserver] acceleratorstorefrontcommons->(acceleratorservices,acceleratorfacades) 5.4.0.5 [cib] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-accelerator\acceleratorstorefrontcommons
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.336 | INFO  [localhost-startStop-1] [hybrisserver] addonsupport->(acceleratorservices,acceleratorcms,acceleratorfacades) 5.4.0.5 [cib] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-addon\addonsupport
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.337 | INFO  [localhost-startStop-1] [hybrisserver] b2ccheckoutaddon->(addonsupport,acceleratorstorefrontcommons,hmc) 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-addon\b2ccheckoutaddon
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.338 | INFO  [localhost-startStop-1] [hybrisserver] merchandisestorefront->(merchandisefacades,b2ccheckoutaddon,acceleratorstorefrontcommons,btg) 5.4.0.5 [w] path:C:\HybrisCommerceTrail5.4\hybris\bin\custom\merchandisestorefront
